glad	0.0 → 0.334
to	0.334 → 0.668
see	0.668 → 1.002
things	1.002 → 1.336
are	1.336 → 1.67
going	1.671 → 2.005
well	2.005 → 2.339
and	2.339 → 2.673
business	2.673 → 3.007
is	3.007 → 3.341
starting	3.341 → 3.675
to	3.675 → 4.009
pick	4.009 → 4.343
up	4.344 → 4.678
and	4.678 → 5.012
up	5.012 → 5.346
to	5.346 → 5.68
business	5.68 → 6.014
to	6.014 → 6.348
to	6.348 → 6.682
up	6.682 → 7.016
are	7.016 → 7.35
to	7.351 → 7.685
are	7.685 → 8.019
going	8.019 → 8.353
going	8.353 → 8.687
to	8.687 → 9.021
are	9.021 → 9.355
are	9.355 → 9.689
to	9.689 → 10.023
and	10.024 → 10.358
and	10.358 → 10.692
to	10.692 → 11.026
to	11.026 → 11.36
up	11.36 → 11.865
andrea	11.865 → 12.37
your	12.37 → 12.875
outstanding	12.874 → 13.379
numbers	13.379 → 13.884
work	13.884 → 14.389
keep	14.389 → 14.894
up	14.893 → 15.398
on	15.398 → 15.903
the	15.903 → 16.408
outstanding	16.408 → 16.913
the	16.912 → 17.417
the	17.417 → 17.922
the	17.922 → 18.427
up	18.427 → 18.932
the	18.931 → 19.436
me	19.436 → 19.941
me	19.941 → 20.446
your	20.446 → 20.951
your	20.95 → 21.455
your	21.455 → 21.96
to	21.96 → 22.253
going	22.253 → 22.546
business	22.545 → 22.838
to	22.838 → 23.131
outstanding	23.131 → 23.424
now	23.423 → 23.716
to	23.716 → 24.009
other	24.009 → 24.302
business	24.301 → 24.594
i	24.594 → 24.887
to	24.887 → 25.18
a	25.18 → 25.473
payment	25.472 → 25.765
schedule	25.765 → 26.058
for	26.058 → 26.351
the	26.35 → 26.643
outstanding	26.643 → 26.936
the	26.936 → 27.229
to	27.228 → 27.521
the	27.521 → 27.814
the	27.814 → 28.107
i	28.106 → 28.399
suggest	28.399 → 28.692
a	28.692 → 28.985
payment	28.984 → 29.277
for	29.277 → 29.57
the	29.57 → 29.863
for	29.862 → 30.155
to	30.155 → 30.448
suggest	30.448 → 30.741
schedule	30.74 → 31.033
going	31.033 → 31.326
going	31.326 → 31.619
i	31.619 → 31.912
to	31.911 → 32.204
to	32.204 → 32.497
i	32.497 → 32.79
schedule	32.789 → 33.082
for	33.082 → 33.375
to	33.375 → 33.668
to	33.667 → 33.96
that	33.96 → 34.491
is	34.491 → 35.022
the	35.022 → 35.553
balance	35.553 → 36.084
due	36.084 → 36.615
the	36.615 → 37.146
license	37.146 → 37.677
agreement	37.677 → 38.208
balance	38.208 → 38.739
you	38.739 → 39.27
pay	39.27 → 39.801
the	39.801 → 40.332
balance	40.332 → 40.863
of	40.863 → 41.394
the	41.394 → 41.925
license	41.926 → 42.457
agreement	42.457 → 42.988
as	42.988 → 43.519
soon	43.519 → 44.05
as	44.05 → 44.581
possible	44.581 → 45.112
the	45.112 → 45.643
you	45.643 → 46.174
you	46.174 → 46.705
that	46.705 → 47.236
you	47.236 → 47.767
that	47.767 → 48.298
you	48.298 → 48.829
you	48.829 → 49.36
up	49.36 → 49.785
up	49.785 → 50.21
on	50.21 → 50.635
i	50.635 → 51.06
the	51.06 → 51.485
the	51.485 → 51.91
you	51.91 → 52.335
pay	52.335 → 52.76
the	52.76 → 53.185
the	53.185 → 53.61
back	53.61 → 54.035
i	54.035 → 54.46
suggest	54.46 → 54.885
we	54.885 → 55.31
set	55.31 → 55.735
up	55.735 → 56.16
the	56.16 → 56.585
back	56.585 → 57.01
what	57.01 → 57.435
you	57.435 → 57.86
two	57.86 → 58.285
or	58.285 → 58.71
you	58.71 → 59.135
suggest	59.135 → 59.56
you	59.56 → 59.985
i	59.985 → 60.41
two	60.41 → 60.835
i	60.835 → 61.26
we	61.26 → 61.685
you	61.685 → 62.11
or	62.11 → 62.535
you	62.535 → 62.96
to	62.96 → 63.612
to	63.612 → 64.264
keep	64.264 → 64.916
to	64.916 → 65.568
i	65.568 → 66.22
would	66.219 → 66.871
like	66.871 → 67.523
to	67.523 → 68.175
would	68.175 → 68.827
you	68.827 → 69.479
to	69.479 → 70.131
i	70.131 → 70.783
you	70.783 → 71.435
every	71.435 → 72.087
two	72.086 → 72.738
weeks	72.738 → 73.39
you	73.39 → 74.042
to	74.042 → 74.694
you	74.694 → 75.346
comfortable	75.346 → 75.998
with	75.998 → 76.65
i	76.65 → 77.302
would	77.302 → 77.954
like	77.954 → 78.606
to	78.605 → 79.257
to	79.257 → 79.909
every	79.909 → 80.561
two	80.561 → 81.213
weeks	81.213 → 81.865
i	81.865 → 82.517
would	82.517 → 83.169
you	83.169 → 83.821
you	83.821 → 84.473
would	84.472 → 85.124
